title	id	price	condition	availability	brand	color	days on lot	dealer name	description	drivetrain	engine	image link	mileage.value	model	msrp	product type	transmission	trim	vin	year
"2025 Nissan Kicks SV"	247e65d1-a460-4d84-9c4a-3215b63a6668	26045	new	in_stock	Nissan	WHITE	11		"""**FREE LIFETIME WARRANTY** Nissan of Wichita Falls was VOTED TEXOMA'S BEST PLACE TO BUY A NEW CAR, TRUCK AND SUV for 2023/2024. How? Simply for providing outstanding customer service experiences! Give us a shout here at Nissan of Wichita Falls. Your time will be valued, and we will provide you with honest transparent and upfront service every step of the way! 940-691-6888.2025 Nissan Kicks SV2.0L DOHCCVT with Xtronic FWD28/35 City/Highway MPG"""			http://imageonthefly.autodatadirect.com/images/?width=1200&height=900&IMG=CAD50NIS262C01300.jpg	0	Kicks	26045	vehicle			3N8AP6CA4SL435508	2025
"2025 Nissan Armada PRO-4X"	ba64de34-c787-41ac-9a3b-20e3a44d1efb	79075	new	in_stock	Nissan	WHITE	19		"""**FREE LIFETIME WARRANTY** Nissan of Wichita Falls was VOTED TEXOMA'S BEST PLACE TO BUY A NEW CAR, TRUCK AND SUV for 2023/2024. How? Simply for providing outstanding customer service experiences! Give us a shout here at Nissan of Wichita Falls. Your time will be valued, and we will provide you with honest transparent and upfront service every step of the way! 940-691-6888.2025 Nissan Armada PRO-4X3.5L DOHC9-Speed Automatic 4WD4WD."""			http://vehicle-photos-published.vauto.com/d9/69/be/c0-2227-48db-a3ad-ff3f574593ff/image-1.jpg	0	Armada	79075	vehicle			JN8AY3DE1S9404285	2025
"2025 Nissan Frontier PRO-4X"	5f2a38b3-d1ff-4a15-b236-10c5c6973d07	42610	new	in_stock	Nissan	ORANGE	62		"""**FREE LIFETIME WARRANTY** Nissan of Wichita Falls was VOTED TEXOMA'S BEST PLACE TO BUY A NEW CAR, TRUCK AND SUV for 2023/2024. How? Simply for providing outstanding customer service experiences! Give us a shout here at Nissan of Wichita Falls. Your time will be valued, and we will provide you with honest transparent and upfront service every step of the way! 940-691-6888.2025 Nissan Frontier PRO-4X3.8L DI DOHC 24V V69-Speed Automatic with Overdrive 4WD4WD. Nissan Of Wichita Falls Price includes: $3500 - Nissan Customer Cash. Exp. 08/04/2025"""			http://vehicle-photos-published.vauto.com/e6/7e/b3/1a-f579-4a15-b5ac-17c34edb3647/image-1.jpg	0	Frontier	42610	vehicle			1N6ED1EK2SN635315	2025
"2025 Nissan Kicks SV"	0d04cbb1-65cb-425a-a83a-70ebcc91a1c1	27095	new	in_stock	Nissan	WHITE	37		"""**FREE LIFETIME WARRANTY** Nissan of Wichita Falls was VOTED TEXOMA'S BEST PLACE TO BUY A NEW CAR, TRUCK AND SUV for 2023/2024. How? Simply for providing outstanding customer service experiences! Give us a shout here at Nissan of Wichita Falls. Your time will be valued, and we will provide you with honest transparent and upfront service every step of the way! 940-691-6888.2025 Nissan Kicks SV2.0L DOHCCVT with Xtronic FWD28/35 City/Highway MPG"""			http://vehicle-photos-published.vauto.com/e1/73/f5/02-5049-4efa-8a7f-7cc735cb2664/image-1.jpg	0	Kicks	27095	vehicle			3N8AP6CAXSL395712	2025
"2023 Ram 1500 Big Horn/Lone Star"	23da493c-c02a-46fa-8969-1e7d29449968	31855	used	in_stock	Ram	RED	74		"""**FREE LIFETIME WARRANTY** Nissan of Wichita Falls was VOTED TEXOMA'S BEST PLACE TO BUY A NEW CAR, TRUCK AND SUV for 2023/2024. How? Simply for providing outstanding customer service experiences! Give us a shout here at Nissan of Wichita Falls. Your time will be valued, and we will provide you with honest transparent and upfront service every step of the way! 940-691-6888.2023 Ram 1500 Big Horn/Lone StarHEMI 5.7L V8 Multi Displacement VVT eTorque8-Speed Automatic 4WD17/22 City/Highway MPG**CARFAX 1 OWNER**, **HOME OF THE FREE LIFETIME POWERTRAIN WARRANTY**, **CLEAN CARFAX**, **REAR BACKUP CAMERA**, **KEYLESS ENTRY**, **XM RADIO**, **SUPER CLEAN**, 4G LTE Wi-Fi Hot Spot, 8.4"""" Touchscreen Display, Apple CarPlay, Auto-Dimming Exterior Driver Mirror, Auto-Dimming Rear-View Mirror, Bed Utility Group, Big Horn Level 1 Equipment Group, Black Exterior Mirrors, Black Premium Power Mirrors, Black Trailer Tow Power Mirrors, Bluetooth Handsfree Phone & Audio, Class IV Receiver Hitch, Connectivity - US/Canada, Electric Shift-On-Demand Transfer Case, Exterior Mirrors Courtesy Lamps, Exterior Mirrors w/Heating Element, Exterior Mirrors w/Supplemental Signals, For Details, Visit DriveUconnect.com, For More Info, Call 800-643-2112, Front Fog Lamps, Glove Box Lamp, Google Android Auto, GPS Antenna Input, Heated Front Seats, Heated Steering Wheel, Integrated Center Stack Radio, MOPAR 4 Adjustable Cargo Tie-Down Hooks, MOPAR Deployable Bed Step, MOPAR Spray In Bedliner, Passenger Sun Visor w/Illuminated Mirror, Pick-Up Box Lighting, Power-Folding Mirrors, Radio: Uconnect 5 W w/8.4"""" Display, Rear Dome w/On/Off Switch Lamp, Rear Power Sliding Window, Rear Window Defroster, SiriusXM Satellite Radio, Trailer Brake Control, Trailer Light Check, Trailer Reverse Steering Control, Trailer Tire Pressure Monitoring System, Trailer Tow Group, Trailer Tow Mirrors, USB Host Flip.6-month / 6,000 mile (whichever occurs first) limited warranty * * 84-point inspection Nissan and qualified non-Nissan models Nissan models: One (1) complimentary visit during the first year of ownership or first 15,000 miles, whichever comes first Non-Nissan models: Up to $50 reimbursement for one (1) complimentary visit during in the first year of ownership or first 15,000 miles, whichever comes first Certified Select vehicles are up to 10 years old with less than 100,000 miles."""			http://vehicle-photos-published.vauto.com/0c/c6/5f/95-8890-4f2a-9178-273c90c2d58b/image-1.jpg	61502	1500	31855	vehicle			1C6SRFBT3PN535594	2023
"2025 Nissan Pathfinder Platinum"	76eefe05-3589-4934-a6cb-a1e897ca2900	51075	new	in_stock	Nissan	BEIGE	164		"""**FREE LIFETIME WARRANTY** Nissan of Wichita Falls was VOTED TEXOMA'S BEST PLACE TO BUY A NEW CAR, TRUCK AND SUV for 2023/2024. How? Simply for providing outstanding customer service experiences! Give us a shout here at Nissan of Wichita Falls. Your time will be valued, and we will provide you with honest transparent and upfront service every step of the way! 940-691-6888.2025 Nissan Pathfinder Platinum3.5L V6 DOHC9-Speed Automatic 4WD4WD. Nissan Of Wichita Falls Price includes: $1000 - Nissan Select VIN Retail Bonus Cash. Exp. 08/04/2025"""			http://vehicle-photos-published.vauto.com/02/b6/de/59-d8bc-45be-94fa-3ec2600fd6d6/image-1.jpg	0	Pathfinder	51075	vehicle			5N1DR3DJ9SC230676	2025
"2025 Nissan Pathfinder S"	96a91407-e086-4492-bbd4-b0dd6d9d34a6	37010	new	in_stock	Nissan	WHITE	237		"""**FREE LIFETIME WARRANTY** Nissan of Wichita Falls was VOTED TEXOMA'S BEST PLACE TO BUY A NEW CAR, TRUCK AND SUV for 2023/2024. How? Simply for providing outstanding customer service experiences! Give us a shout here at Nissan of Wichita Falls. Your time will be valued, and we will provide you with honest transparent and upfront service every step of the way! 940-691-6888.2025 Nissan Pathfinder S3.5L V6 DOHC9-Speed Automatic 4WD21/27 City/Highway MPG4WD. Nissan Of Wichita Falls Price includes: $500 - Nissan Select VIN Retail Bonus Cash. Exp. 08/04/2025"""			http://vehicle-photos-published.vauto.com/6b/ad/0b/6b-fd98-449b-8a23-5943d45c655a/image-1.jpg	0	Pathfinder	37010	vehicle			5N1DR3AC7SC219892	2025
"2017 Jeep Wrangler Unlimited Sahara"	48fa0d54-2623-4489-90e1-8c2c2131e544	23988	used	in_stock	Jeep	SILVER	53		"""**FREE LIFETIME WARRANTY** Nissan of Wichita Falls was VOTED TEXOMA'S BEST PLACE TO BUY A NEW CAR, TRUCK AND SUV for 2023/2024. How? Simply for providing outstanding customer service experiences! Give us a shout here at Nissan of Wichita Falls. Your time will be valued, and we will provide you with honest transparent and upfront service every step of the way! 940-691-6888.2017 Jeep Wrangler Unlimited Sahara3.6L V6 24V VVT5-Speed Automatic 4WD16/20 City/Highway MPG**CARFAX 1 OWNER**, **HOME OF THE FREE LIFETIME POWERTRAIN WARRANTY**, **LEATHER**, **HEATED SEATS**, **KEYLESS ENTRY**, **REMOTE START**, **SUPER CLEAN**.Awards:  * 2017 KBB.com 10 Most Awarded Brands"""			http://vehicle-photos-published.vauto.com/2c/e1/5d/b2-4d68-41ae-931e-eea323970ab6/image-1.jpg	100060	Wrangler	23988	vehicle			1C4BJWEG5HL755816	2017
"2025 Nissan Sentra S"	cbf95c93-116f-483f-91a8-e06c1bd1572a	23425	new	in_stock	Nissan	WHITE	193		"""**FREE LIFETIME WARRANTY** Nissan of Wichita Falls was VOTED TEXOMA'S BEST PLACE TO BUY A NEW CAR, TRUCK AND SUV for 2023/2024. How? Simply for providing outstanding customer service experiences! Give us a shout here at Nissan of Wichita Falls. Your time will be valued, and we will provide you with honest transparent and upfront service every step of the way! 940-691-6888.2025 Nissan Sentra S2.0L I4 DOHCCVT with Xtronic FWD30/40 City/Highway MPGCVT with Xtronic, Charcoal Cloth."""			http://vehicle-photos-published.vauto.com/c2/ef/1e/d9-6f42-4336-bf02-739b28d73736/image-1.jpg	0	Sentra	23425	vehicle			3N1AB8BV0SY277720	2025
"2025 Nissan Murano SL"	0488253d-7269-4415-a464-877c65ccc239	47715	new	in_stock	Nissan	BLACK	150		"""**FREE LIFETIME WARRANTY** Nissan of Wichita Falls was VOTED TEXOMA'S BEST PLACE TO BUY A NEW CAR, TRUCK AND SUV for 2023/2024. How? Simply for providing outstanding customer service experiences! Give us a shout here at Nissan of Wichita Falls. Your time will be valued, and we will provide you with honest transparent and upfront service every step of the way! 940-691-6888.2025 Nissan Murano SLI49-Speed Automatic AWD21/27 City/Highway MPG9-Speed Automatic, AWD."""			http://vehicle-photos-published.vauto.com/5c/1a/6d/b4-83db-4129-a337-9f1e02898670/image-1.jpg	0	Murano	47715	vehicle			5N1AZ3CS0SC112948	2025
"2025 Nissan Kicks SR"	19cf38af-4030-42c4-9f8e-eea97828231c	28450	new	in_stock	Nissan	BLACK	46		"""**FREE LIFETIME WARRANTY** Nissan of Wichita Falls was VOTED TEXOMA'S BEST PLACE TO BUY A NEW CAR, TRUCK AND SUV for 2023/2024. How? Simply for providing outstanding customer service experiences! Give us a shout here at Nissan of Wichita Falls. Your time will be valued, and we will provide you with honest transparent and upfront service every step of the way! 940-691-6888.2025 Nissan Kicks SR2.0L DOHCCVT with Xtronic FWD28/35 City/Highway MPG"""			http://vehicle-photos-published.vauto.com/f7/5c/60/63-9fa8-46ab-81a2-b615c6fbca59/image-1.jpg	0	Kicks	28450	vehicle			3N8AP6DA5SL419283	2025
"2025 Nissan Kicks SV"	a864410c-07e9-4a68-8a9e-6e32592b4c1f	26160	new	in_stock	Nissan	WHITE	217		"""**FREE LIFETIME WARRANTY** Nissan of Wichita Falls was VOTED TEXOMA'S BEST PLACE TO BUY A NEW CAR, TRUCK AND SUV for 2023/2024. How? Simply for providing outstanding customer service experiences! Give us a shout here at Nissan of Wichita Falls. Your time will be valued, and we will provide you with honest transparent and upfront service every step of the way! 940-691-6888.2025 Nissan Kicks SV2.0L DOHCCVT with Xtronic AWD27/34 City/Highway MPG Nissan Of Wichita Falls Price includes: $1000 - Nissan CR MY25 New Kicks (AWD) Customer Cash - July. Exp. 08/04/2025"""			http://vehicle-photos-published.vauto.com/67/de/a8/44-0756-42aa-be44-d797aadc6936/image-1.jpg	0	Kicks	26160	vehicle			3N8AP6CBXSL352772	2025
"2025 Nissan Rogue Platinum"	3c3aa621-6be9-4dce-ade5-d960ba8481ed	44010	new	in_stock	Nissan	GRAY	8		"""**FREE LIFETIME WARRANTY** Nissan of Wichita Falls was VOTED TEXOMA'S BEST PLACE TO BUY A NEW CAR, TRUCK AND SUV for 2023/2024. How? Simply for providing outstanding customer service experiences! Give us a shout here at Nissan of Wichita Falls. Your time will be valued, and we will provide you with honest transparent and upfront service every step of the way! 940-691-6888.2025 Nissan Rogue Platinum1.5L DOHCCVT with Xtronic AWD28/34 City/Highway MPGAWD. Nissan Of Wichita Falls Price includes: $1000 - Nissan Select VIN Retail Bonus Cash. Exp. 08/04/2025"""			http://imageonthefly.autodatadirect.com/images/?width=1200&height=900&IMG=USD10NIS111D01300.jpg	0	Rogue	44010	vehicle			JN8BT3DD7SW300931	2025
"2022 Chevrolet Silverado 2500HD LTZ"	09e04b8a-909c-468d-afac-a0433a49289c	52300	used	in_stock	Chevrolet	RED	74		"""**FREE LIFETIME WARRANTY** Nissan of Wichita Falls was VOTED TEXOMA'S BEST PLACE TO BUY A NEW CAR, TRUCK AND SUV for 2023/2024. How? Simply for providing outstanding customer service experiences! Give us a shout here at Nissan of Wichita Falls. Your time will be valued, and we will provide you with honest transparent and upfront service every step of the way! 940-691-6888.2022 Chevrolet Silverado 2500HD LTZDuramax 6.6L V8 Turbodiesel10-Speed Automatic 4WD**CARFAX 1 OWNER**, **HOME OF THE FREE LIFETIME POWERTRAIN WARRANTY**, **CLEAN CARFAX**, **NAVIGATION**, **LEATHER**, **HEATED SEATS**, **REAR BACKUP CAMERA**, **LOCAL TRADE**, **NEW TIRES**, **KEYLESS ENTRY**, **REMOTE START**, **XM RADIO**, **SUPER CLEAN**, COOLED SEATS, 10-Speed Automatic, 4WD, Gideon/Very Dark Atmosphere Leather, 12-Volt Rear Auxiliary Power Outlet, 120-Volt Bed Mounted Power Outlet, 120-Volt Instrument Panel Power Outlet, 170 Amp Alternator, 2 USB Ports (1st Row), 2 USB Ports & 1 SD Card Reader, 2-Speed Active Electronic AutoTrac Transfer Case, 4.2"""" Diagonal Color Display Driver Info Center, Advanced Trailering System, Auto-Dimming Inside Rear-View Mirror, Bed View Camera w/2 Trailer Camera Provisions, Bluetooth® For Phone, BOSE Premium 7-Speaker Sound System, Chevrolet Connected Access Capable, Chrome Front Grille, Chrome Mirror Caps, Color-Keyed Carpeting Floor Covering, Compass, Deep-Tinted Glass, Dual Charge-Only USB Ports (2nd Row), Electric Rear-Window Defogger, Electrical Lock Control Steering Column, Electronic Cruise Control w/Set & Resume Speed, EZ Lift Power Lock & Release Tailgate, Floor-Mounted Center Console, Front Bucket Seats, Front LED Fog Lamps, Front Rubberized Vinyl Floor Mats, HD Rear Vision Camera, HD Surround Vision w/2 Trailer View Camera Provisions, Heated & Auto-Dim Pwr Vertical Trailering Mirrors, Heated 2nd Row Outboard Seats, Heated Steering Wheel, Hill Descent Control, Hitch Guidance w/Hitch View, Integrated Trailer Brake Controller, Keyless Open & Start, Lane Change Alert w/Side Blind Zone Alert, Leather-Wrapped Steering Wheel, LED Cargo Area Lighting, LTZ Convenience Package, LTZ Convenience Package II, Manual Tilt & Telescoping Steering Column, Off-Road Suspension, OnStar & Chevrolet Connected Services Capable, Power Door Locks, Power Front Windows w/Driver Express Up/Down, Power Front Windows w/Passenger Express Up/Down, Power Rear Windows w/Express Down, Power Sliding Rear Window w/Defogger, Preferred Equipment Group 1LZ, Radio: Chevrolet Infotainment 3 Premium System, Rear Cross Traffic Alert, Rear Rubberized Vinyl Floor Mats, Rear Wheelhouse Liners, Remote Vehicle Starter System, Safety Package, SiriusXM w/360L, Standard Tailgate, Steering Wheel Audio Controls, Suspension Package, Ultrasonic Front & Rear Park Assist, Unauthorized Entry Theft-Deterrent System, Universal Home Remote, Up-Level Rear Seat w/Storage Package, Ventilated Driver & Front Passenger Seats, Wi-Fi Hotspot Capable, Wireless Charging, Wireless Phone Projection, Z71 Off-Road Package.6-month / 6,000 mile (whichever occurs first) limited warranty * * 84-point inspection Nissan and qualified non-Nissan models Nissan models: One (1) complimentary visit during the first year of ownership or first 15,000 miles, whichever comes first Non-Nissan models: Up to $50 reimbursement for one (1) complimentary visit during in the first year of ownership or first 15,000 miles, whichever comes first Certified Select vehicles are up to 10 years old with less than 100,000 miles."""			http://vehicle-photos-published.vauto.com/03/2a/4d/0b-1aad-4013-b91f-88bd396216db/image-1.jpg	65930	Silverado 2500HD	52300	vehicle			1GC4YPEY7NF215395	2022
"2025 Nissan Murano SL"	08028573-8b12-436a-8f9a-8ad688165906	48640	new	in_stock	Nissan	WHITE	191		"""**FREE LIFETIME WARRANTY** Nissan of Wichita Falls was VOTED TEXOMA'S BEST PLACE TO BUY A NEW CAR, TRUCK AND SUV for 2023/2024. How? Simply for providing outstanding customer service experiences! Give us a shout here at Nissan of Wichita Falls. Your time will be valued, and we will provide you with honest transparent and upfront service every step of the way! 940-691-6888.2025 Nissan Murano SLI49-Speed Automatic AWD21/27 City/Highway MPG9-Speed Automatic, AWD."""			http://vehicle-photos-published.vauto.com/49/a8/a4/44-e4a7-48dd-8cf3-a1bd2c03c1ca/image-1.jpg	0	Murano	48640	vehicle			5N1AZ3CS9SC104833	2025
"2026 Nissan Rogue SV"	9c385295-2903-4f07-9ab9-e5dd9bf25184	0	new	in_stock	Nissan	GRAY	6		"""**FREE LIFETIME WARRANTY** Nissan of Wichita Falls was VOTED TEXOMA'S BEST PLACE TO BUY A NEW CAR, TRUCK AND SUV for 2023/2024. How? Simply for providing outstanding customer service experiences! Give us a shout here at Nissan of Wichita Falls. Your time will be valued, and we will provide you with honest transparent and upfront service every step of the way! 940-691-6888.2026 Nissan Rogue SVFWD"""			http://vehicle-photos-published.vauto.com/ca/b7/11/9b-af27-41ba-a986-1b90ba0825b6/image-1.jpg	0	Rogue	0	vehicle			5N1BT3BA0TC671741	2026
"2025 Nissan Murano SL"	bc8c966f-3a96-4d9c-986b-0470fd306e52	48140	new	in_stock	Nissan	WHITE	180		"""**FREE LIFETIME WARRANTY** Nissan of Wichita Falls was VOTED TEXOMA'S BEST PLACE TO BUY A NEW CAR, TRUCK AND SUV for 2023/2024. How? Simply for providing outstanding customer service experiences! Give us a shout here at Nissan of Wichita Falls. Your time will be valued, and we will provide you with honest transparent and upfront service every step of the way! 940-691-6888.2025 Nissan Murano SLI49-Speed Automatic AWD21/27 City/Highway MPG9-Speed Automatic, AWD."""			http://vehicle-photos-published.vauto.com/49/06/b9/22-f45b-46b5-a4de-5040e3371e81/image-1.jpg	0	Murano	48140	vehicle			5N1AZ3CS2SC107606	2025
"2025 Nissan Kicks SV"	d7c33735-684b-4d49-80f7-62966272f9e1	26360	new	in_stock	Nissan	BLACK	93		"""**FREE LIFETIME WARRANTY** Nissan of Wichita Falls was VOTED TEXOMA'S BEST PLACE TO BUY A NEW CAR, TRUCK AND SUV for 2023/2024. How? Simply for providing outstanding customer service experiences! Give us a shout here at Nissan of Wichita Falls. Your time will be valued, and we will provide you with honest transparent and upfront service every step of the way! 940-691-6888.2025 Nissan Kicks SV2.0L DOHCCVT with Xtronic AWD27/34 City/Highway MPG Nissan Of Wichita Falls Price includes: $1000 - Nissan CR MY25 New Kicks (AWD) Customer Cash - July. Exp. 08/04/2025"""			http://vehicle-photos-published.vauto.com/17/54/bf/a7-aa63-415f-ae72-87fb01e45f72/image-1.jpg	0	Kicks	26360	vehicle			3N8AP6CB6SL400154	2025
